dispatchmatrix run of record

display        :72 (private Xvfb + real i3, started and torn down by the harness)
$mod           Mod4
engines        go = cmd/hotkeyd binary   |   python = hotkeyd.py under python3
table          70 top-level binds + 4 layers, enumerated at run time from binds.py
plan           127 trials
verdict        127/127 identical on both engines, 0 divergences

TRIAL                                          GO            PYTHON        DISPATCHED (identical on both unless noted)
default|$mod+o                                 layer-change  layer-change  state:nav
default|$mod+Return                            dispatched    dispatched    run:~/.local/bin/wm-launch-terminal|st
default|$mod+d                                 dispatched    dispatched    run:~/.dotfiles/quickshell/qs-overlay.sh|launcher
default|$mod+p                                 dispatched    dispatched    run:~/.dotfiles/quickshell/qs-overlay.sh|projects
default|$mod+1                                 dispatched    dispatched    run:~/.local/bin/ws-switch.nu|1
default|$mod+Ctrl+1                            dispatched    dispatched    run:~/.local/bin/ws-switch.nu|1 move
default|$mod+Shift+1                           dispatched    dispatched    run:~/.local/bin/ws-switch.nu|1 follow
default|$mod+2                                 dispatched    dispatched    run:~/.local/bin/ws-switch.nu|2
default|$mod+Ctrl+2                            dispatched    dispatched    run:~/.local/bin/ws-switch.nu|2 move
default|$mod+Shift+2                           dispatched    dispatched    run:~/.local/bin/ws-switch.nu|2 follow
default|$mod+3                                 dispatched    dispatched    run:~/.local/bin/ws-switch.nu|3
default|$mod+Ctrl+3                            dispatched    dispatched    run:~/.local/bin/ws-switch.nu|3 move
default|$mod+Shift+3                           dispatched    dispatched    run:~/.local/bin/ws-switch.nu|3 follow
default|$mod+4                                 dispatched    dispatched    run:~/.local/bin/ws-switch.nu|4
default|$mod+Ctrl+4                            dispatched    dispatched    run:~/.local/bin/ws-switch.nu|4 move
default|$mod+Shift+4                           dispatched    dispatched    run:~/.local/bin/ws-switch.nu|4 follow
default|$mod+5                                 dispatched    dispatched    run:~/.local/bin/ws-switch.nu|5
default|$mod+Ctrl+5                            dispatched    dispatched    run:~/.local/bin/ws-switch.nu|5 move
default|$mod+Shift+5                           dispatched    dispatched    run:~/.local/bin/ws-switch.nu|5 follow
default|$mod+6                                 dispatched    dispatched    run:~/.local/bin/ws-switch.nu|6
default|$mod+Ctrl+6                            dispatched    dispatched    run:~/.local/bin/ws-switch.nu|6 move
default|$mod+Shift+6                           dispatched    dispatched    run:~/.local/bin/ws-switch.nu|6 follow
